Title,Year,Director,Casting,Ratings,genre
The Devil's Backbone (El Espinazo del diablo),2001,Guillermo del Toro,"Eduardo Noriega,Marisa Paredes,Fernando Tielve,Federico Luppi",92,horror
The Texas Chainsaw Massacre,1974,Tobe Hooper,"Gunnar Hansen,Marilyn Burns,Allen Danziger,Teri McMinn",89,horror
We Are Still Here,2015,Ted Geoghegan,"Barbara Crampton,Andrew Sensenig,Lisa Marie,Larry Fessenden",95,horror
Housebound,2014,Gerard Johnstone,"Morgana O'Reilly,Rima Te Wiata,Glen-Paul Waru,Ross Harper",95,horror
Eraserhead,1977,David Lynch,"Jack Nance,Charlotte Stewart,Allan Joseph,Jeanne Bates",90,horror
Village of the Damned,1960,Wolf Rilla,"George Sanders,Barbara Shelley,Michael Gwynn,Laurence Naismith",93,horror
L'uccello dalle piume di cristallo (The Bird With the Crystal Plumage),1970,Dario Argento,"Tony Musante,Suzy Kendall,Eva Renzi,Mario Adorf",93,horror
The Wolf Man,1941,George Waggner,"Lon Chaney Jr,Creighton Chaney,Claude Rains,Evelyn Ankers",90,horror
Phantom of the Opera,1925,Lon Chaney Jr,"Lon Chaney,Mary Philbin,Norman Kerry,Snitz Edwards",90,horror
The Endless,2018,Justin Benson,"Aaron Moorhead,Justin Benson,Tate Ellington,Callie Hernandez",92,horror
Don't Breathe,2016,Fede Alvarez,"Jane Levy,Dylan Minnette,Daniel Zovatto,Stephen Lang",88,horror
Re-Animator,1985,Stuart Gordon,"Jeffrey Combs,Bruce Abbott,Barbara Crampton,Robert Sampson",93,horror
Zombieland,2009,Ruben Fleischer,"Woody Harrelson,Jesse Eisenberg,Emma Stone,Abigail Breslin",89,horror
It Comes At Night,2017,Trey Edward Shults,"Joel Edgerton,Riley Keough,Christopher Abbott,Carmen Ejogo",87,horror
Dawn of the Dead,1979,George A. Romero,"David Emge,Ken Foree,Scott Reiniger,Gaylen Ross",94,horror
The Fly,1986,David Cronenberg,"Jeff Goldblum,Geena Davis,John Getz,Joy Boushel",92,horror
Deep Red (Profondo rosso),1975,Dario Argento,"David Hemmings,Daria Nicolodi,Gabriele Lavia,Clara Calamai",96,horror
A Nightmare on Elm Street,1984,Wes Craven,"Robert Englund,Heather Langenkamp,John Saxon,Ronee Blakely",94,horror
The Host,2007,Bong Joon Ho,"Song Kang Ho,Park Hae-il,Byun Hee-bong,Doona Bae",93,horror
Shaun of the Dead,2004,Edgar Wright,"Simon Pegg,Kate Ashfield,Nick Frost,Lucy Davis",92,horror
Train to Busan (Busanhaeng),2016,Yeon Sang-ho,"Jung Yoo-mi,Kim Soo-ahn,Kim Eui-sung,So-hee Ahn",94,horror
Revenge,2018,Coralie Fargeat,"Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,Guillaume Bouchède",93,horror
